4 4|A a:56 b:0 c:78 d:0 e:8 f:-19 g:22 h:70 i:48
1 1|A a:37 b:0 c:83 d:0 e:34 f:7 g:47 h:50 i:2
1 1|A a:37 b:0 c:77 d:0 e:2 f:17 g:40 h:74 i:34
1 1|A a:53 b:-1 c:87 d:-5 e:52 f:-10 g:34 h:35 i:2
1 1|A a:37 b:-1 c:79 d:-4 e:36 f:-6 g:42 h:43 i:2
1 1|A a:44 b:-1 c:82 d:-4 e:44 f:0 g:38 h:38 i:0
1 1|A a:48 b:-3 c:95 d:0 e:46 f:-4 g:47 h:49 i:2
1 1|A a:42 b:5 c:79 d:5 e:42 f:0 g:37 h:38 i:0
1 1|A a:37 b:0 c:106 d:-1 e:34 f:0 g:68 h:72 i:4
1 1|A a:37 b:0 c:81 d:5 e:36 f:-3 g:43 h:44 i:2
1 1|A a:44 b:-4 c:82 d:-3 e:44 f:0 g:38 h:38 i:0
1 1|A a:45 b:0 c:83 d:0 e:46 f:19 g:38 h:37 i:0
1 1|A a:55 b:2 c:83 d:-2 e:54 f:0 g:28 h:29 i:0
4 4|A a:55 b:0 c:77 d:0 e:-14 f:-4 g:21 h:92 i:70
1 1|A a:41 b:3 c:78 d:0 e:38 f:-1 g:37 h:39 i:2
1 1|A a:37 b:0 c:78 d:-5 e:8 f:0 g:41 h:70 i:30
1 1|A a:57 b:3 c:91 d:0 e:56 f:0 g:34 h:34 i:0
1 1|A a:37 b:0 c:76 d:0 e:38 f:14 g:38 h:37 i:0
1 1|A a:37 b:0 c:77 d:0 e:8 f:-8 g:41 h:70 i:28
1 1|A a:37 b:0 c:76 d:-5 e:28 f:6 g:39 h:47 i:8
1 1|A a:49 b:4 c:84 d:0 e:50 f:2 g:35 h:35 i:0
1 1|A a:37 b:0 c:77 d:5 e:-12 f:-10 g:41 h:90 i:50
1 1|A a:50 b:-4 c:85 d:0 e:50 f:0 g:35 h:36 i:2
1 1|A a:51 b:-2 c:87 d:0 e:52 f:5 g:36 h:35 i:0
1 1|A a:37 b:0 c:93 d:0 e:12 f:7 g:56 h:81 i:24
1 1|A a:56 b:0 c:82 d:1 e:54 f:-12 g:26 h:28 i:2
1 1|A a:43 b:0 c:81 d:3 e:42 f:-4 g:38 h:40 i:2
1 1|A a:55 b:-2 c:108 d:0 e:54 f:-3 g:52 h:53 i:2
1 1|A a:37 b:0 c:81 d:-1 e:36 f:-18 g:43 h:44 i:2
1 1|A a:45 b:-1 c:78 d:-3 e:44 f:-5 g:33 h:34 i:2
1 1|A a:41 b:0 c:77 d:7 e:38 f:0 g:36 h:38 i:2
1 1|A a:48 b:1 c:87 d:0 e:46 f:0 g:39 h:41 i:2
1 1|A a:43 b:0 c:81 d:0 e:44 f:15 g:37 h:37 i:0
4 4|A a:56 b:0 c:96 d:0 e:52 f:-3 g:40 h:44 i:4
1 1|A a:37 b:0 c:92 d:0 e:24 f:3 g:55 h:69 i:14
1 1|A a:46 b:1 c:83 d:0 e:44 f:-9 g:37 h:39 i:2
1 1|A a:49 b:-2 c:77 d:3 e:46 f:-30 g:28 h:30 i:2
1 1|A a:45 b:0 c:83 d:0 e:44 f:2 g:38 h:39 i:0
4 4|A a:56 b:0 c:81 d:0 e:-20 f:-4 g:25 h:102 i:76
1 1|A a:48 b:-3 c:109 d:-6 e:46 f:0 g:61 h:62 i:2
1 1|A a:37 b:0 c:83 d:0 e:34 f:5 g:46 h:49 i:4
1 1|A a:50 b:-4 c:83 d:0 e:50 f:0 g:33 h:34 i:2
1 1|A a:47 b:-2 c:75 d:0 e:46 f:0 g:28 h:28 i:0
1 1|A a:48 b:1 c:81 d:-1 e:46 f:0 g:33 h:34 i:2
4 4|A a:55 b:0 c:82 d:0 e:-42 f:-9 g:26 h:126 i:100
1 1|A a:50 b:3 c:107 d:0 e:50 f:0 g:57 h:58 i:0
1 1|A a:38 b:0 c:102 d:-4 e:34 f:0 g:65 h:69 i:4
1 1|A a:37 b:0 c:106 d:17 e:28 f:0 g:69 h:77 i:8
1 1|A a:37 b:0 c:77 d:0 e:-6 f:-19 g:41 h:85 i:44
1 1|A a:37 b:0 c:79 d:0 e:26 f:-22 g:42 h:53 i:12
1 1|A a:43 b:0 c:84 d:0 e:44 f:13 g:41 h:41 i:0
1 1|A a:36 b:-1 c:81 d:0 e:36 f:0 g:45 h:45 i:0
1 1|A a:45 b:1 c:80 d:0 e:46 f:31 g:35 h:34 i:0
4 4|A a:55 b:0 c:78 d:0 e:0 f:-3 g:23 h:78 i:56
1 1|A a:58 b:5 c:88 d:0 e:56 f:0 g:30 h:31 i:2
1 1|A a:48 b:0 c:88 d:-4 e:46 f:0 g:40 h:41 i:2
5 5|A a:105 b:-1 c:106 d:2 e:70 f:0 g:2 h:36 i:34
1 1|A a:54 b:-1 c:86 d:-1 e:54 f:-2 g:32 h:32 i:0
4 4|A a:56 b:4 c:96 d:0 e:52 f:10 g:40 h:44 i:4
5 5|A a:79 b:2 c:83 d:0 e:-42 f:-19 g:4 h:126 i:122
1 1|A a:37 b:0 c:97 d:0 e:24 f:-30 g:60 h:73 i:14
1 1|A a:46 b:-3 c:109 d:2 e:46 f:0 g:63 h:63 i:0
1 1|A a:37 b:0 c:78 d:0 e:16 f:-11 g:42 h:63 i:22
1 1|A a:37 b:0 c:78 d:0 e:12 f:-10 g:41 h:65 i:24
4 4|A a:56 b:0 c:78 d:5 e:-22 f:0 g:22 h:101 i:80
4 4|A a:55 b:0 c:83 d:5 e:-24 f:0 g:27 h:108 i:82
1 1|A a:54 b:2 c:80 d:0 e:54 f:0 g:26 h:26 i:0
4 4|A a:55 b:0 c:77 d:-2 e:28 f:0 g:21 h:48 i:28
1 1|A a:37 b:0 c:104 d:-9 e:28 f:0 g:67 h:75 i:8
4 4|A a:55 b:-1 c:79 d:0 e:16 f:0 g:23 h:63 i:40
1 1|A a:43 b:-3 c:86 d:0 e:42 f:-16 g:42 h:44 i:2
1 1|A a:41 b:-1 c:89 d:0 e:38 f:-14 g:48 h:50 i:2
1 1|A a:39 b:0 c:107 d:-2 e:38 f:0 g:68 h:68 i:0
1 1|A a:46 b:0 c:107 d:0 e:46 f:4 g:61 h:60 i:0
1 1|A a:37 b:4 c:76 d:0 e:34 f:-10 g:39 h:43 i:4
1 1|A a:44 b:1 c:76 d:0 e:44 f:8 g:32 h:32 i:0
1 1|A a:53 b:0 c:79 d:0 e:54 f:14 g:26 h:24 i:0
1 1|A a:44 b:0 c:81 d:-1 e:44 f:5 g:37 h:37 i:0
4 4|A a:56 b:3 c:99 d:0 e:38 f:0 g:43 h:60 i:18
4 4|A a:56 b:0 c:93 d:-7 e:50 f:0 g:37 h:44 i:6
1 1|A a:37 b:0 c:75 d:-2 e:34 f:0 g:38 h:41 i:2
1 1|A a:52 b:4 c:84 d:-1 e:52 f:-2 g:31 h:32 i:0
5 5|A a:80 b:0 c:85 d:6 e:-40 f:10 g:5 h:126 i:122
1 1|A a:37 b:0 c:76 d:0 e:36 f:4 g:39 h:40 i:2
4 4|A a:55 b:0 c:92 d:0 e:-4 f:22 g:36 h:97 i:60
1 1|A a:44 b:2 c:75 d:0 e:44 f:11 g:31 h:31 i:0
1 1|A a:43 b:-5 c:83 d:0 e:42 f:-9 g:39 h:41 i:2
1 1|A a:41 b:-1 c:76 d:0 e:38 f:-24 g:35 h:37 i:2
1 1|A a:45 b:0 c:86 d:0 e:44 f:-10 g:41 h:42 i:2
4 4|A a:55 b:0 c:77 d:0 e:6 f:-11 g:22 h:72 i:50
1 1|A a:67 b:-2 c:110 d:0 e:68 f:0 g:43 h:43 i:0
1 1|A a:37 b:-67 c:106 d:0 e:36 f:31 g:69 h:69 i:0
1 1|A a:56 b:0 c:108 d:0 e:54 f:-14 g:52 h:53 i:2
1 1|A a:42 b:0 c:86 d:-3 e:42 f:0 g:44 h:44 i:0
1 1|A a:56 b:0 c:84 d:0 e:54 f:-19 g:28 h:30 i:2
1 1|A a:38 b:2 c:80 d:0 e:38 f:4 g:42 h:41 i:0
1 1|A a:45 b:0 c:86 d:0 e:44 f:-3 g:41 h:42 i:2
1 1|A a:44 b:0 c:83 d:-1 e:44 f:0 g:38 h:39 i:0
1 1|A a:45 b:-2 c:83 d:0 e:44 f:-7 g:37 h:39 i:2
1 1|A a:53 b:-1 c:88 d:0 e:54 f:4 g:35 h:34 i:0
1 1|A a:51 b:0 c:83 d:0 e:52 f:19 g:31 h:31 i:0
1 1|A a:41 b:0 c:81 d:0 e:38 f:-3 g:41 h:43 i:2
1 1|A a:46 b:0 c:88 d:0 e:46 f:0 g:41 h:41 i:0
1 1|A a:43 b:0 c:77 d:0 e:42 f:0 g:34 h:36 i:2
1 1|A a:45 b:2 c:76 d:-3 e:44 f:-5 g:31 h:32 i:0
1 1|A a:41 b:1 c:97 d:0 e:42 f:4 g:55 h:55 i:0
1 1|A a:37 b:0 c:81 d:2 e:26 f:0 g:44 h:55 i:10
5 5|A a:83 b:0 c:86 d:0 e:-4 f:0 g:3 h:92 i:88
4 4|A a:56 b:0 c:81 d:4 e:-22 f:0 g:25 h:104 i:80
1 1|A a:43 b:0 c:87 d:0 e:42 f:-6 g:44 h:46 i:2
4 4|A a:56 b:4 c:98 d:-4 e:42 f:0 g:42 h:57 i:14
1 1|A a:46 b:2 c:78 d:0 e:46 f:9 g:32 h:32 i:0
1 1|A a:37 b:0 c:79 d:0 e:26 f:-4 g:42 h:53 i:12
1 1|A a:43 b:-1 c:83 d:0 e:42 f:-6 g:39 h:41 i:2
1 1|A a:37 b:0 c:83 d:1 e:24 f:0 g:46 h:59 i:14
4 4|A a:55 b:0 c:95 d:-2 e:50 f:0 g:40 h:46 i:6
1 1|A a:56 b:3 c:89 d:0 e:56 f:0 g:33 h:32 i:0
1 1|A a:37 b:0 c:78 d:0 e:0 f:-11 g:42 h:78 i:36
1 1|A a:48 b:1 c:87 d:-6 e:46 f:-4 g:39 h:41 i:2
1 1|A a:37 b:0 c:90 d:0 e:30 f:9 g:53 h:59 i:6
4 4|A a:55 b:0 c:96 d:0 e:46 f:9 g:41 h:50 i:8
1 1|A a:51 b:-3 c:84 d:4 e:52 f:1 g:33 h:32 i:0
1 1|A a:37 b:0 c:78 d:0 e:12 f:11 g:41 h:65 i:24
1 1|A a:37 b:0 c:97 d:-6 e:34 f:0 g:59 h:63 i:4
1 1|A a:45 b:-1 c:77 d:2 e:44 f:0 g:32 h:33 i:0
1 1|A a:49 b:0 c:84 d:0 e:50 f:18 g:35 h:35 i:0
1 1|A a:53 b:0 c:81 d:4 e:52 f:-22 g:28 h:29 i:2
1 1|A a:37 b:2 c:90 d:0 e:28 f:0 g:53 h:62 i:8
1 1|A a:37 b:0 c:77 d:1 e:36 f:0 g:41 h:41 i:0
2 2|A a:70 b:57 c:82 d:0 e:-42 f:-4 g:12 h:126 i:114
1 1|A a:61 b:-2 c:111 d:0 e:60 f:0 g:50 h:52 i:2
1 1|A a:59 b:0 c:86 d:0 e:60 f:21 g:28 h:27 i:0
1 1|A a:49 b:0 c:95 d:3 e:50 f:4 g:46 h:46 i:0
1 1|A a:45 b:2 c:86 d:6 e:44 f:0 g:41 h:42 i:2
1 1|A a:45 b:0 c:79 d:0 e:46 f:6 g:33 h:32 i:0
4 4|A a:56 b:0 c:78 d:0 e:44 f:1 g:22 h:34 i:12
1 1|A a:55 b:-3 c:96 d:0 e:54 f:-3 g:41 h:42 i:2
1 1|A a:49 b:0 c:78 d:0 e:50 f:3 g:29 h:29 i:0
1 1|A a:39 b:3 c:77 d:0 e:38 f:0 g:38 h:38 i:0
4 4|A a:55 b:-1 c:79 d:-8 e:20 f:-13 g:23 h:58 i:34
1 1|A a:56 b:0 c:86 d:0 e:56 f:15 g:31 h:30 i:0
1 1|A a:37 b:0 c:81 d:0 e:18 f:-26 g:44 h:63 i:18
1 1|A a:41 b:0 c:82 d:-2 e:38 f:-3 g:41 h:43 i:2
1 1|A a:45 b:-3 c:88 d:0 e:44 f:0 g:44 h:44 i:0
1 1|A a:37 b:0 c:83 d:0 e:8 f:24 g:46 h:75 i:30
1 1|A a:43 b:0 c:77 d:0 e:42 f:-8 g:34 h:36 i:2
5 5|A a:84 b:6 c:89 d:0 e:6 f:-6 g:5 h:84 i:78
1 1|A a:37 b:0 c:79 d:-1 e:6 f:-23 g:43 h:74 i:32
1 1|A a:37 b:0 c:81 d:0 e:38 f:7 g:43 h:42 i:0
1 1|A a:43 b:0 c:77 d:0 e:42 f:-19 g:34 h:35 i:2
4 4|A a:56 b:-1 c:98 d:4 e:50 f:23 g:42 h:49 i:6
1 1|A a:50 b:1 c:78 d:-2 e:50 f:0 g:28 h:29 i:2
1 1|A a:39 b:3 c:86 d:0 e:38 f:0 g:48 h:48 i:0
1 1|A a:43 b:0 c:81 d:0 e:42 f:-10 g:37 h:39 i:2
1 1|A a:37 b:0 c:79 d:0 e:36 f:9 g:42 h:43 i:2
1 1|A a:58 b:-4 c:91 d:0 e:56 f:0 g:33 h:34 i:0
1 1|A a:45 b:0 c:93 d:2 e:44 f:0 g:49 h:50 i:0
1 1|A a:38 b:3 c:76 d:0 e:38 f:8 g:38 h:37 i:0
1 1|A a:37 b:0 c:79 d:-3 e:36 f:-1 g:41 h:43 i:2
5 5|A a:79 b:6 c:83 d:1 e:-40 f:13 g:4 h:124 i:120
1 1|A a:36 b:-1 c:76 d:0 e:36 f:0 g:39 h:39 i:0
5 5|A a:85 b:-3 c:88 d:0 e:2 f:-25 g:3 h:86 i:82
1 1|A a:37 b:3 c:77 d:0 e:36 f:0 g:41 h:41 i:0
1 1|A a:37 b:0 c:77 d:0 e:26 f:-19 g:41 h:52 i:10
1 1|A a:45 b:0 c:79 d:0 e:46 f:14 g:34 h:33 i:0
4 4|A a:54 b:4 c:77 d:0 e:28 f:0 g:23 h:48 i:26
1 1|A a:43 b:-5 c:77 d:0 e:44 f:19 g:34 h:33 i:0
1 1|A a:41 b:0 c:83 d:2 e:38 f:-1 g:42 h:44 i:2
1 1|A a:43 b:0 c:77 d:10 e:42 f:-34 g:34 h:36 i:2
4 4|A a:56 b:2 c:81 d:4 e:-4 f:0 g:25 h:86 i:62
4 4|A a:55 b:0 c:82 d:0 e:-32 f:9 g:26 h:115 i:90
1 1|A a:37 b:0 c:103 d:0 e:24 f:16 g:66 h:80 i:14
1 1|A a:50 b:1 c:90 d:3 e:50 f:0 g:39 h:41 i:2
1 1|A a:45 b:0 c:84 d:8 e:44 f:-8 g:39 h:41 i:2
1 1|A a:48 b:0 c:89 d:4 e:46 f:-7 g:41 h:42 i:2
5 5|A a:85 b:0 c:88 d:-3 e:6 f:0 g:3 h:83 i:80
1 1|A a:47 b:-2 c:106 d:0 e:46 f:0 g:59 h:60 i:0
1 1|A a:37 b:-6 c:78 d:0 e:10 f:0 g:42 h:68 i:26
3 3|A a:37 b:-38 c:106 d:-104 e:30 f:-17 g:69 h:75 i:6
1 1|A a:58 b:0 c:91 d:2 e:56 f:0 g:33 h:34 i:2
1 1|A a:46 b:0 c:78 d:-7 e:46 f:5 g:32 h:32 i:0
4 4|A a:55 b:0 c:95 d:-2 e:50 f:-10 g:40 h:46 i:6
1 1|A a:56 b:0 c:82 d:0 e:56 f:10 g:26 h:25 i:0
4 4|A a:55 b:0 c:92 d:0 e:46 f:-3 g:37 h:46 i:8
1 1|A a:39 b:-2 c:86 d:0 e:38 f:0 g:46 h:47 i:0
1 1|A a:51 b:2 c:81 d:-5 e:50 f:0 g:30 h:32 i:2
1 1|A a:37 b:0 c:75 d:0 e:20 f:11 g:38 h:54 i:16
1 1|A a:41 b:-2 c:80 d:0 e:38 f:-20 g:39 h:41 i:2
1 1|A a:53 b:0 c:86 d:0 e:52 f:-10 g:33 h:34 i:2
1 1|A a:46 b:2 c:88 d:0 e:46 f:3 g:42 h:41 i:0
1 1|A a:37 b:0 c:78 d:0 e:6 f:-4 g:41 h:73 i:32
1 1|A a:44 b:0 c:79 d:-2 e:44 f:0 g:35 h:35 i:0
1 1|A a:38 b:-3 c:76 d:0 e:38 f:0 g:38 h:37 i:0
1 1|A a:52 b:4 c:91 d:0 e:52 f:0 g:38 h:39 i:0
1 1|A a:37 b:0 c:93 d:0 e:16 f:4 g:55 h:77 i:22
4 4|A a:56 b:0 c:77 d:0 e:-22 f:23 g:21 h:100 i:80
1 1|A a:44 b:4 c:82 d:-7 e:44 f:1 g:38 h:38 i:0
1 1|A a:37 b:0 c:79 d:-4 e:24 f:0 g:42 h:55 i:14
1 1|A a:46 b:0 c:87 d:-7 e:46 f:0 g:41 h:41 i:0
1 1|A a:52 b:-3 c:86 d:0 e:52 f:-4 g:33 h:34 i:0
1 1|A a:41 b:0 c:79 d:0 e:38 f:0 g:39 h:41 i:2
1 1|A a:56 b:0 c:80 d:0 e:54 f:-15 g:24 h:26 i:2
5 5|A a:82 b:1 c:86 d:0 e:-6 f:0 g:3 h:94 i:90
1 1|A a:60 b:-5 c:111 d:0 e:60 f:0 g:50 h:51 i:2
1 1|A a:44 b:1 c:88 d:0 e:44 f:4 g:44 h:44 i:0
1 1|A a:46 b:1 c:87 d:0 e:46 f:7 g:41 h:41 i:0
1 1|A a:52 b:-3 c:88 d:0 e:52 f:0 g:35 h:36 i:0
1 1|A a:37 b:0 c:78 d:0 e:-2 f:-6 g:42 h:81 i:40
1 1|A a:43 b:0 c:78 d:-7 e:42 f:0 g:35 h:37 i:2
1 1|A a:37 b:0 c:84 d:0 e:18 f:-25 g:47 h:66 i:18
1 1|A a:42 b:-4 c:85 d:0 e:42 f:0 g:43 h:44 i:2
1 1|A a:43 b:0 c:79 d:3 e:42 f:0 g:37 h:38 i:2
5 5|A a:78 b:-2 c:82 d:0 e:-40 f:0 g:4 h:123 i:120
1 1|A a:48 b:0 c:88 d:0 e:46 f:0 g:39 h:41 i:2
1 1|A a:55 b:0 c:90 d:0 e:54 f:0 g:36 h:36 i:0
5 5|A a:78 b:0 c:82 d:-2 e:-40 f:0 g:4 h:123 i:120
